date,store_id,product_id,product_name,category,closing_stock,reorder_level,issue_type,severity,recommendation,reason
2025-03-31,1,1259,Amul Milk 19,Dairy,329,88,Overstock,Low,Transfer Excess Inventory,Closing stock (329) exceeds overstock threshold (300)
2025-03-31,1,1260,Amul Milk 20,Dairy,304,82,Overstock,Low,Transfer Excess Inventory,Closing stock (304) exceeds overstock threshold (300)
2025-03-31,1,1263,Mother Dairy Milk 3,Dairy,340,80,Overstock,Low,Transfer Excess Inventory,Closing stock (340) exceeds overstock threshold (300)
2025-03-31,1,1264,Mother Dairy Milk 4,Dairy,349,32,Overstock,Low,Transfer Excess Inventory,Closing stock (349) exceeds overstock threshold (300)
2025-03-31,1,1266,Mother Dairy Milk 6,Dairy,329,88,Overstock,Low,Transfer Excess Inventory,Closing stock (329) exceeds overstock threshold (300)
2025-03-31,1,1272,Mother Dairy Milk 12,Dairy,331,52,Overstock,Low,Transfer Excess Inventory,Closing stock (331) exceeds overstock threshold (300)
2025-03-31,1,1275,Mother Dairy Milk 15,Dairy,363,66,Overstock,Low,Transfer Excess Inventory,Closing stock (363) exceeds overstock threshold (300)
2025-03-31,1,1276,Mother Dairy Milk 16,Dairy,334,33,Overstock,Low,Transfer Excess Inventory,Closing stock (334) exceeds overstock threshold (300)
2025-03-31,1,1287,Amul Butter 7,Dairy,378,84,Overstock,Low,Transfer Excess Inventory,Closing stock (378) exceeds overstock threshold (300)
2025-03-31,1,1288,Amul Butter 8,Dairy,36,51,Understock,Low,Reorder / Receive Inventory,Closing stock (36) below reorder level (51)
2025-03-31,1,1295,Amul Butter 15,Dairy,302,87,Overstock,Low,Transfer Excess Inventory,Closing stock (302) exceeds overstock threshold (300)
2025-03-31,1,1310,Britannia Butter 10,Dairy,35,99,Understock,High,Reorder / Receive Inventory,Closing stock (35) below reorder level (99)
2025-03-31,1,1323,Amul Cheese 3,Dairy,381,35,Overstock,Low,Transfer Excess Inventory,Closing stock (381) exceeds overstock threshold (300)
2025-03-31,1,1324,Amul Cheese 4,Dairy,363,70,Overstock,Low,Transfer Excess Inventory,Closing stock (363) exceeds overstock threshold (300)
2025-03-31,1,1325,Amul Cheese 5,Dairy,351,21,Overstock,Low,Transfer Excess Inventory,Closing stock (351) exceeds overstock threshold (300)
2025-03-31,1,1326,Amul Cheese 6,Dairy,336,67,Overstock,Low,Transfer Excess Inventory,Closing stock (336) exceeds overstock threshold (300)
2025-03-31,1,1328,Amul Cheese 8,Dairy,302,95,Overstock,Low,Transfer Excess Inventory,Closing stock (302) exceeds overstock threshold (300)
2025-03-31,1,1330,Amul Cheese 10,Dairy,335,48,Overstock,Low,Transfer Excess Inventory,Closing stock (335) exceeds overstock threshold (300)
2025-03-31,1,1335,Amul Cheese 15,Dairy,343,94,Overstock,Low,Transfer Excess Inventory,Closing stock (343) exceeds overstock threshold (300)
2025-03-31,1,1337,Amul Cheese 17,Dairy,317,29,Overstock,Low,Transfer Excess Inventory,Closing stock (317) exceeds overstock threshold (300)
2025-03-31,1,1343,Britannia Cheese 3,Dairy,306,27,Overstock,Low,Transfer Excess Inventory,Closing stock (306) exceeds overstock threshold (300)
2025-03-31,1,1345,Britannia Cheese 5,Dairy,346,60,Overstock,Low,Transfer Excess Inventory,Closing stock (346) exceeds overstock threshold (300)
2025-03-31,1,1358,Britannia Cheese 18,Dairy,349,73,Overstock,Low,Transfer Excess Inventory,Closing stock (349) exceeds overstock threshold (300)
2025-03-31,1,1361,Lay's Chips 1,Snacks,355,34,Overstock,Low,Transfer Excess Inventory,Closing stock (355) exceeds overstock threshold (300)
2025-03-31,1,1363,Lay's Chips 3,Snacks,359,40,Overstock,Low,Transfer Excess Inventory,Closing stock (359) exceeds overstock threshold (300)
2025-03-31,1,1364,Lay's Chips 4,Snacks,325,74,Overstock,Low,Transfer Excess Inventory,Closing stock (325) exceeds overstock threshold (300)
2025-03-31,1,1366,Lay's Chips 6,Snacks,321,93,Overstock,Low,Transfer Excess Inventory,Closing stock (321) exceeds overstock threshold (300)
2025-03-31,1,1368,Lay's Chips 8,Snacks,355,98,Overstock,Low,Transfer Excess Inventory,Closing stock (355) exceeds overstock threshold (300)
2025-03-31,1,1371,Lay's Chips 11,Snacks,364,52,Overstock,Low,Transfer Excess Inventory,Closing stock (364) exceeds overstock threshold (300)
2025-03-31,1,1374,Lay's Chips 14,Snacks,336,82,Overstock,Low,Transfer Excess Inventory,Closing stock (336) exceeds overstock threshold (300)
2025-03-31,1,1375,Lay's Chips 15,Snacks,343,66,Overstock,Low,Transfer Excess Inventory,Closing stock (343) exceeds overstock threshold (300)
2025-03-31,1,1380,Lay's Chips 20,Snacks,310,62,Overstock,Low,Transfer Excess Inventory,Closing stock (310) exceeds overstock threshold (300)
2025-03-31,1,1382,Kurkure Chips 2,Snacks,48,60,Understock,Low,Reorder / Receive Inventory,Closing stock (48) below reorder level (60)
2025-03-31,1,1385,Kurkure Chips 5,Snacks,349,99,Overstock,Low,Transfer Excess Inventory,Closing stock (349) exceeds overstock threshold (300)
2025-03-31,1,1387,Kurkure Chips 7,Snacks,345,97,Overstock,Low,Transfer Excess Inventory,Closing stock (345) exceeds overstock threshold (300)
2025-03-31,1,1392,Kurkure Chips 12,Snacks,69,92,Understock,Medium,Reorder / Receive Inventory,Closing stock (69) below reorder level (92)
2025-03-31,1,1393,Kurkure Chips 13,Snacks,380,33,Overstock,Low,Transfer Excess Inventory,Closing stock (380) exceeds overstock threshold (300)
2025-03-31,1,1397,Kurkure Chips 17,Snacks,350,45,Overstock,Low,Transfer Excess Inventory,Closing stock (350) exceeds overstock threshold (300)
2025-03-31,1,1402,Britannia Biscuits 2,Snacks,36,78,Understock,Medium,Reorder / Receive Inventory,Closing stock (36) below reorder level (78)
2025-03-31,1,1404,Britannia Biscuits 4,Snacks,375,91,Overstock,Low,Transfer Excess Inventory,Closing stock (375) exceeds overstock threshold (300)
2025-03-31,1,1405,Britannia Biscuits 5,Snacks,351,87,Overstock,Low,Transfer Excess Inventory,Closing stock (351) exceeds overstock threshold (300)
2025-03-31,1,1406,Britannia Biscuits 6,Snacks,338,94,Overstock,Low,Transfer Excess Inventory,Closing stock (338) exceeds overstock threshold (300)
2025-03-31,1,1409,Britannia Biscuits 9,Snacks,323,84,Overstock,Low,Transfer Excess Inventory,Closing stock (323) exceeds overstock threshold (300)
2025-03-31,1,1411,Britannia Biscuits 11,Snacks,342,89,Overstock,Low,Transfer Excess Inventory,Closing stock (342) exceeds overstock threshold (300)
2025-03-31,1,1421,Parle Biscuits 1,Snacks,322,26,Overstock,Low,Transfer Excess Inventory,Closing stock (322) exceeds overstock threshold (300)
2025-03-31,1,1423,Parle Biscuits 3,Snacks,314,74,Overstock,Low,Transfer Excess Inventory,Closing stock (314) exceeds overstock threshold (300)
2025-03-31,1,1424,Parle Biscuits 4,Snacks,322,29,Overstock,Low,Transfer Excess Inventory,Closing stock (322) exceeds overstock threshold (300)
2025-03-31,1,1425,Parle Biscuits 5,Snacks,346,74,Overstock,Low,Transfer Excess Inventory,Closing stock (346) exceeds overstock threshold (300)
2025-03-31,1,1434,Parle Biscuits 14,Snacks,53,88,Understock,Medium,Reorder / Receive Inventory,Closing stock (53) below reorder level (88)
2025-03-31,1,1437,Parle Biscuits 17,Snacks,367,44,Overstock,Low,Transfer Excess Inventory,Closing stock (367) exceeds overstock threshold (300)
2025-03-31,1,1441,Tata Tea Tea 1,Beverages,339,88,Overstock,Low,Transfer Excess Inventory,Closing stock (339) exceeds overstock threshold (300)
2025-03-31,1,1442,Tata Tea Tea 2,Beverages,356,96,Overstock,Low,Transfer Excess Inventory,Closing stock (356) exceeds overstock threshold (300)
2025-03-31,1,1443,Tata Tea Tea 3,Beverages,328,60,Overstock,Low,Transfer Excess Inventory,Closing stock (328) exceeds overstock threshold (300)
2025-03-31,1,1444,Tata Tea Tea 4,Beverages,357,47,Overstock,Low,Transfer Excess Inventory,Closing stock (357) exceeds overstock threshold (300)
2025-03-31,1,1447,Tata Tea Tea 7,Beverages,342,22,Overstock,Low,Transfer Excess Inventory,Closing stock (342) exceeds overstock threshold (300)
2025-03-31,1,1452,Tata Tea Tea 12,Beverages,322,40,Overstock,Low,Transfer Excess Inventory,Closing stock (322) exceeds overstock threshold (300)
2025-03-31,1,1454,Tata Tea Tea 14,Beverages,77,95,Understock,Low,Reorder / Receive Inventory,Closing stock (77) below reorder level (95)
2025-03-31,1,1455,Tata Tea Tea 15,Beverages,301,20,Overstock,Low,Transfer Excess Inventory,Closing stock (301) exceeds overstock threshold (300)
2025-03-31,1,1456,Tata Tea Tea 16,Beverages,311,48,Overstock,Low,Transfer Excess Inventory,Closing stock (311) exceeds overstock threshold (300)
2025-03-31,1,1457,Tata Tea Tea 17,Beverages,344,98,Overstock,Low,Transfer Excess Inventory,Closing stock (344) exceeds overstock threshold (300)
2025-03-31,1,1461,Red Label Tea 1,Beverages,76,95,Understock,Low,Reorder / Receive Inventory,Closing stock (76) below reorder level (95)
2025-03-31,1,1462,Red Label Tea 2,Beverages,329,58,Overstock,Low,Transfer Excess Inventory,Closing stock (329) exceeds overstock threshold (300)
2025-03-31,1,1470,Red Label Tea 10,Beverages,58,62,Understock,Low,Reorder / Receive Inventory,Closing stock (58) below reorder level (62)
2025-03-31,1,1487,Nescafe Coffee 7,Beverages,335,93,Overstock,Low,Transfer Excess Inventory,Closing stock (335) exceeds overstock threshold (300)
2025-03-31,1,1489,Nescafe Coffee 9,Beverages,351,45,Overstock,Low,Transfer Excess Inventory,Closing stock (351) exceeds overstock threshold (300)
2025-03-31,1,1492,Nescafe Coffee 12,Beverages,350,99,Overstock,Low,Transfer Excess Inventory,Closing stock (350) exceeds overstock threshold (300)
2025-03-31,1,1493,Nescafe Coffee 13,Beverages,350,66,Overstock,Low,Transfer Excess Inventory,Closing stock (350) exceeds overstock threshold (300)
2025-03-31,1,1497,Nescafe Coffee 17,Beverages,307,35,Overstock,Low,Transfer Excess Inventory,Closing stock (307) exceeds overstock threshold (300)
2025-03-31,1,1499,Nescafe Coffee 19,Beverages,363,53,Overstock,Low,Transfer Excess Inventory,Closing stock (363) exceeds overstock threshold (300)
2025-03-31,1,1501,Bru Coffee 1,Beverages,327,42,Overstock,Low,Transfer Excess Inventory,Closing stock (327) exceeds overstock threshold (300)
2025-03-31,1,1505,Bru Coffee 5,Beverages,336,84,Overstock,Low,Transfer Excess Inventory,Closing stock (336) exceeds overstock threshold (300)
2025-03-31,1,1508,Bru Coffee 8,Beverages,354,85,Overstock,Low,Transfer Excess Inventory,Closing stock (354) exceeds overstock threshold (300)
2025-03-31,1,1515,Bru Coffee 15,Beverages,357,21,Overstock,Low,Transfer Excess Inventory,Closing stock (357) exceeds overstock threshold (300)
2025-03-31,1,1516,Bru Coffee 16,Beverages,36,92,Understock,High,Reorder / Receive Inventory,Closing stock (36) below reorder level (92)
2025-03-31,1,1517,Bru Coffee 17,Beverages,311,46,Overstock,Low,Transfer Excess Inventory,Closing stock (311) exceeds overstock threshold (300)
2025-03-31,1,1518,Bru Coffee 18,Beverages,312,89,Overstock,Low,Transfer Excess Inventory,Closing stock (312) exceeds overstock threshold (300)
2025-03-31,1,1520,Bru Coffee 20,Beverages,352,36,Overstock,Low,Transfer Excess Inventory,Closing stock (352) exceeds overstock threshold (300)
2025-03-31,1,1521,Dove Soap 1,Personal Care,305,97,Overstock,Low,Transfer Excess Inventory,Closing stock (305) exceeds overstock threshold (300)
2025-03-31,1,1526,Dove Soap 6,Personal Care,304,27,Overstock,Low,Transfer Excess Inventory,Closing stock (304) exceeds overstock threshold (300)
2025-03-31,1,1530,Dove Soap 10,Personal Care,80,92,Understock,Low,Reorder / Receive Inventory,Closing stock (80) below reorder level (92)
2025-03-31,1,1537,Dove Soap 17,Personal Care,323,24,Overstock,Low,Transfer Excess Inventory,Closing stock (323) exceeds overstock threshold (300)
2025-03-31,1,1547,Lux Soap 7,Personal Care,339,99,Overstock,Low,Transfer Excess Inventory,Closing stock (339) exceeds overstock threshold (300)
2025-03-31,1,1551,Lux Soap 11,Personal Care,53,85,Understock,Medium,Reorder / Receive Inventory,Closing stock (53) below reorder level (85)
2025-03-31,1,1553,Lux Soap 13,Personal Care,379,66,Overstock,Low,Transfer Excess Inventory,Closing stock (379) exceeds overstock threshold (300)
2025-03-31,1,1558,Lux Soap 18,Personal Care,362,82,Overstock,Low,Transfer Excess Inventory,Closing stock (362) exceeds overstock threshold (300)
2025-03-31,1,1561,Lifebuoy Soap 1,Personal Care,348,41,Overstock,Low,Transfer Excess Inventory,Closing stock (348) exceeds overstock threshold (300)
2025-03-31,1,1564,Lifebuoy Soap 4,Personal Care,372,84,Overstock,Low,Transfer Excess Inventory,Closing stock (372) exceeds overstock threshold (300)
2025-03-31,1,1567,Lifebuoy Soap 7,Personal Care,315,73,Overstock,Low,Transfer Excess Inventory,Closing stock (315) exceeds overstock threshold (300)
2025-03-31,1,1568,Lifebuoy Soap 8,Personal Care,370,85,Overstock,Low,Transfer Excess Inventory,Closing stock (370) exceeds overstock threshold (300)
2025-03-31,1,1570,Lifebuoy Soap 10,Personal Care,384,96,Overstock,Low,Transfer Excess Inventory,Closing stock (384) exceeds overstock threshold (300)
2025-03-31,1,1571,Lifebuoy Soap 11,Personal Care,364,23,Overstock,Low,Transfer Excess Inventory,Closing stock (364) exceeds overstock threshold (300)
2025-03-31,1,1574,Lifebuoy Soap 14,Personal Care,313,53,Overstock,Low,Transfer Excess Inventory,Closing stock (313) exceeds overstock threshold (300)
2025-03-31,1,1575,Lifebuoy Soap 15,Personal Care,349,54,Overstock,Low,Transfer Excess Inventory,Closing stock (349) exceeds overstock threshold (300)
2025-03-31,1,1579,Lifebuoy Soap 19,Personal Care,306,36,Overstock,Low,Transfer Excess Inventory,Closing stock (306) exceeds overstock threshold (300)
2025-03-31,1,1593,Clinic Plus Shampoo 13,Personal Care,303,84,Overstock,Low,Transfer Excess Inventory,Closing stock (303) exceeds overstock threshold (300)
2025-03-31,1,1595,Clinic Plus Shampoo 15,Personal Care,344,47,Overstock,Low,Transfer Excess Inventory,Closing stock (344) exceeds overstock threshold (300)
2025-03-31,1,1600,Clinic Plus Shampoo 20,Personal Care,308,49,Overstock,Low,Transfer Excess Inventory,Closing stock (308) exceeds overstock threshold (300)
2025-03-31,1,1603,Pantene Shampoo 3,Personal Care,324,48,Overstock,Low,Transfer Excess Inventory,Closing stock (324) exceeds overstock threshold (300)
2025-03-31,1,1608,Pantene Shampoo 8,Personal Care,306,53,Overstock,Low,Transfer Excess Inventory,Closing stock (306) exceeds overstock threshold (300)
2025-03-31,1,1614,Pantene Shampoo 14,Personal Care,66,83,Understock,Low,Reorder / Receive Inventory,Closing stock (66) below reorder level (83)
2025-03-31,1,1615,Pantene Shampoo 15,Personal Care,63,92,Understock,Medium,Reorder / Receive Inventory,Closing stock (63) below reorder level (92)
2025-03-31,1,1620,Pantene Shampoo 20,Personal Care,314,86,Overstock,Low,Transfer Excess Inventory,Closing stock (314) exceeds overstock threshold (300)
2025-03-31,1,1624,Head & Shoulders Shampoo 4,Personal Care,350,100,Overstock,Low,Transfer Excess Inventory,Closing stock (350) exceeds overstock threshold (300)
2025-03-31,1,1627,Head & Shoulders Shampoo 7,Personal Care,388,72,Overstock,Low,Transfer Excess Inventory,Closing stock (388) exceeds overstock threshold (300)
2025-03-31,1,1631,Head & Shoulders Shampoo 11,Personal Care,52,64,Understock,Low,Reorder / Receive Inventory,Closing stock (52) below reorder level (64)
2025-03-31,1,1636,Head & Shoulders Shampoo 16,Personal Care,66,83,Understock,Low,Reorder / Receive Inventory,Closing stock (66) below reorder level (83)
2025-03-31,1,1637,Head & Shoulders Shampoo 17,Personal Care,45,94,Understock,Medium,Reorder / Receive Inventory,Closing stock (45) below reorder level (94)
2025-03-31,1,1649,Colgate Toothpaste 9,Personal Care,329,25,Overstock,Low,Transfer Excess Inventory,Closing stock (329) exceeds overstock threshold (300)
2025-03-31,1,1651,Colgate Toothpaste 11,Personal Care,368,27,Overstock,Low,Transfer Excess Inventory,Closing stock (368) exceeds overstock threshold (300)
2025-03-31,1,1653,Colgate Toothpaste 13,Personal Care,41,68,Understock,Medium,Reorder / Receive Inventory,Closing stock (41) below reorder level (68)
2025-03-31,1,1658,Colgate Toothpaste 18,Personal Care,344,77,Overstock,Low,Transfer Excess Inventory,Closing stock (344) exceeds overstock threshold (300)
2025-03-31,1,1660,Colgate Toothpaste 20,Personal Care,361,82,Overstock,Low,Transfer Excess Inventory,Closing stock (361) exceeds overstock threshold (300)
2025-03-31,1,1672,Pepsodent Toothpaste 12,Personal Care,61,82,Understock,Medium,Reorder / Receive Inventory,Closing stock (61) below reorder level (82)
2025-03-31,1,1678,Pepsodent Toothpaste 18,Personal Care,318,59,Overstock,Low,Transfer Excess Inventory,Closing stock (318) exceeds overstock threshold (300)
2025-03-31,1,1681,Surf Excel Detergent 1,Household,344,56,Overstock,Low,Transfer Excess Inventory,Closing stock (344) exceeds overstock threshold (300)
2025-03-31,1,1686,Surf Excel Detergent 6,Household,374,52,Overstock,Low,Transfer Excess Inventory,Closing stock (374) exceeds overstock threshold (300)
2025-03-31,1,1694,Surf Excel Detergent 14,Household,312,77,Overstock,Low,Transfer Excess Inventory,Closing stock (312) exceeds overstock threshold (300)
2025-03-31,1,1697,Surf Excel Detergent 17,Household,367,53,Overstock,Low,Transfer Excess Inventory,Closing stock (367) exceeds overstock threshold (300)
2025-03-31,1,1699,Surf Excel Detergent 19,Household,49,59,Understock,Low,Reorder / Receive Inventory,Closing stock (49) below reorder level (59)
2025-03-31,1,1701,Ariel Detergent 1,Household,366,85,Overstock,Low,Transfer Excess Inventory,Closing stock (366) exceeds overstock threshold (300)
2025-03-31,1,1711,Ariel Detergent 11,Household,336,97,Overstock,Low,Transfer Excess Inventory,Closing stock (336) exceeds overstock threshold (300)
